,datetime,station,operation,num_bikes,is_weekend
316,2020-01-14 04:00:00,113,both,2.0,weekday
317,2020-01-14 05:00:00,113,both,3.0,weekday
318,2020-01-14 06:00:00,113,both,8.0,weekday
319,2020-01-14 07:00:00,113,both,18.0,weekday
320,2020-01-14 08:00:00,113,both,19.0,weekday
321,2020-01-14 09:00:00,113,both,6.0,weekday
322,2020-01-14 10:00:00,113,both,11.0,weekday
323,2020-01-14 11:00:00,113,both,13.0,weekday
324,2020-01-14 12:00:00,113,both,10.0,weekday
325,2020-01-14 13:00:00,113,both,7.0,weekday
326,2020-01-14 14:00:00,113,both,9.0,weekday
327,2020-01-14 15:00:00,113,both,11.0,weekday
328,2020-01-14 16:00:00,113,both,15.0,weekday
329,2020-01-14 17:00:00,113,both,29.0,weekday
330,2020-01-14 18:00:00,113,both,11.0,weekday
331,2020-01-14 19:00:00,113,both,14.0,weekday
332,2020-01-14 20:00:00,113,both,10.0,weekday
333,2020-01-14 21:00:00,113,both,8.0,weekday
334,2020-01-14 22:00:00,113,both,9.0,weekday
335,2020-01-14 23:00:00,113,both,4.0,weekday
336,2020-01-15 00:00:00,113,both,2.0,weekday
337,2020-01-15 01:00:00,113,both,1.0,weekday
338,2020-01-15 02:00:00,113,both,16.0,weekday
339,2020-01-15 03:00:00,113,both,0.0,weekday
340,2020-01-15 04:00:00,113,both,0.0,weekday
341,2020-01-15 05:00:00,113,both,3.0,weekday
342,2020-01-15 06:00:00,113,both,6.0,weekday
343,2020-01-15 07:00:00,113,both,7.0,weekday
344,2020-01-15 08:00:00,113,both,8.0,weekday
345,2020-01-15 09:00:00,113,both,6.0,weekday
346,2020-01-15 10:00:00,113,both,5.0,weekday
347,2020-01-15 11:00:00,113,both,8.0,weekday
348,2020-01-15 12:00:00,113,both,6.0,weekday
349,2020-01-15 13:00:00,113,both,15.0,weekday
350,2020-01-15 14:00:00,113,both,9.0,weekday
351,2020-01-15 15:00:00,113,both,8.0,weekday
352,2020-01-15 16:00:00,113,both,8.0,weekday
353,2020-01-15 17:00:00,113,both,7.0,weekday
354,2020-01-15 18:00:00,113,both,14.0,weekday
355,2020-01-15 19:00:00,113,both,14.0,weekday
356,2020-01-15 20:00:00,113,both,8.0,weekday
357,2020-01-15 21:00:00,113,both,8.0,weekday
358,2020-01-15 22:00:00,113,both,8.0,weekday
359,2020-01-15 23:00:00,113,both,4.0,weekday
360,2020-01-16 00:00:00,113,both,3.0,weekday
361,2020-01-16 01:00:00,113,both,2.0,weekday
