station_id,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,is_installed,is_renting,is_returning,last_reported,is_charging_station,status,last_updated
101,1,0,1,23,1,1,1,1577844597,TRUE,IN_SERVICE,1577844626
113,20,20,0,6,1,1,1,1577844574,TRUE,IN_SERVICE,1577844626
329,0,0,0,27,1,1,1,1577844576,TRUE,IN_SERVICE,1577844626
101,1,0,1,23,1,1,1,1577844860,TRUE,IN_SERVICE,1577844925
113,20,20,0,6,1,1,1,1577844837,TRUE,IN_SERVICE,1577844925
329,0,0,0,27,1,1,1,1577844837,TRUE,IN_SERVICE,1577844925
101,1,0,1,23,1,1,1,1577845121,TRUE,IN_SERVICE,1577845219
113,20,20,0,6,1,1,1,1577845099,TRUE,IN_SERVICE,1577845219
329,0,0,0,27,1,1,1,1577845100,TRUE,IN_SERVICE,1577845219
101,1,0,1,23,1,1,1,1577845381,TRUE,IN_SERVICE,1577845524
113,20,20,0,6,1,1,1,1577845362,TRUE,IN_SERVICE,1577845524
329,0,0,0,27,1,1,1,1577845361,TRUE,IN_SERVICE,1577845524
101,1,0,1,23,1,1,1,1577845642,TRUE,IN_SERVICE,1577845826
113,21,21,0,5,1,1,1,1577845623,TRUE,IN_SERVICE,1577845826
329,0,0,0,27,1,1,1,1577845624,TRUE,IN_SERVICE,1577845826
101,1,0,1,23,1,1,1,1577845900,TRUE,IN_SERVICE,1577846110
113,21,21,0,5,1,1,1,1577845886,TRUE,IN_SERVICE,1577846110
329,0,0,0,27,1,1,1,1577845888,TRUE,IN_SERVICE,1577846110
101,1,0,1,23,1,1,1,1577846162,TRUE,IN_SERVICE,1577846414
113,22,22,0,4,1,1,1,1577846410,TRUE,IN_SERVICE,1577846414
329,0,0,0,27,1,1,1,1577846407,TRUE,IN_SERVICE,1577846414
101,1,0,1,23,1,1,1,1577846688,TRUE,IN_SERVICE,1577846719
113,23,22,1,3,1,1,1,1577846671,TRUE,IN_SERVICE,1577846719
329,0,0,0,27,1,1,1,1577846668,TRUE,IN_SERVICE,1577846719
101,1,0,1,23,1,1,1,1577846950,TRUE,IN_SERVICE,1577847014
113,24,23,1,2,1,1,1,1577846933,TRUE,IN_SERVICE,1577847014
329,0,0,0,27,1,1,1,1577846933,TRUE,IN_SERVICE,1577847014
101,1,0,1,23,1,1,1,1577847212,TRUE,IN_SERVICE,1577847313
113,26,25,1,0,1,1,1,1577847198,TRUE,IN_SERVICE,1577847313
329,0,0,0,27,1,1,1,1577847229,TRUE,IN_SERVICE,1577847313
101,1,0,1,23,1,1,1,1577847473,TRUE,IN_SERVICE,1577847612
113,26,25,1,0,1,1,1,1577847460,TRUE,IN_SERVICE,1577847612
329,0,0,0,27,1,1,1,1577847489,TRUE,IN_SERVICE,1577847612
101,1,0,1,23,1,1,1,1577847735,TRUE,IN_SERVICE,1577847926
113,25,24,1,1,1,1,1,1577847727,TRUE,IN_SERVICE,1577847926
329,0,0,0,27,1,1,1,1577847748,TRUE,IN_SERVICE,1577847926
101,1,0,1,23,1,1,1,1577847997,TRUE,IN_SERVICE,1577848220
113,25,24,1,1,1,1,1,1577847986,TRUE,IN_SERVICE,1577848220
329,0,0,0,27,1,1,1,1577848007,TRUE,IN_SERVICE,1577848220
101,1,0,1,23,1,1,1,1577848260,TRUE,IN_SERVICE,1577848519
113,25,24,1,1,1,1,1,1577848513,TRUE,IN_SERVICE,1577848519
329,0,0,0,27,1,1,1,1577848267,TRUE,IN_SERVICE,1577848519
101,1,0,1,23,1,1,1,1577848782,TRUE,IN_SERVICE,1577848808
113,25,24,1,1,1,1,1,1577848775,TRUE,IN_SERVICE,1577848808
329,0,0,0,27,1,1,1,1577848783,TRUE,IN_SERVICE,1577848808
101,1,0,1,23,1,1,1,1577849044,TRUE,IN_SERVICE,1577849096
113,25,24,1,1,1,1,1,1577849034,TRUE,IN_SERVICE,1577849096
329,0,0,0,27,1,1,1,1577849087,TRUE,IN_SERVICE,1577849096
101,1,0,1,23,1,1,1,1577849305,TRUE,IN_SERVICE,1577849417
113,25,24,1,1,1,1,1,1577849295,TRUE,IN_SERVICE,1577849417
329,0,0,0,27,1,1,1,1577849352,TRUE,IN_SERVICE,1577849417
101,0,0,0,24,1,1,1,1577849568,TRUE,IN_SERVICE,1577849702
113,26,25,1,0,1,1,1,1577849556,TRUE,IN_SERVICE,1577849702
329,0,0,0,27,1,1,1,1577849616,TRUE,IN_SERVICE,1577849702
101,0,0,0,24,1,1,1,1577849828,TRUE,IN_SERVICE,1577850025
113,26,25,1,0,1,1,1,1577849819,TRUE,IN_SERVICE,1577850025
329,0,0,0,27,1,1,1,1577849879,TRUE,IN_SERVICE,1577850025
101,0,0,0,24,1,1,1,1577850092,TRUE,IN_SERVICE,1577850302
113,26,25,1,0,1,1,1,1577850082,TRUE,IN_SERVICE,1577850302
329,0,0,0,27,1,1,1,1577850143,TRUE,IN_SERVICE,1577850302
101,0,0,0,24,1,1,1,1577850355,TRUE,IN_SERVICE,1577850601
113,26,25,1,0,1,1,1,1577850345,TRUE,IN_SERVICE,1577850601
329,0,0,0,27,1,1,1,1577850405,TRUE,IN_SERVICE,1577850601
101,0,0,0,24,1,1,1,1577850877,TRUE,IN_SERVICE,1577850896
113,26,25,1,0,1,1,1,1577850871,TRUE,IN_SERVICE,1577850896
329,0,0,0,27,1,1,1,1577850670,TRUE,IN_SERVICE,1577850896
101,14,14,0,10,1,1,1,1577851139,TRUE,IN_SERVICE,1577851206
113,26,25,1,0,1,1,1,1577851132,TRUE,IN_SERVICE,1577851206
329,0,0,0,27,1,1,1,1577851202,TRUE,IN_SERVICE,1577851206
101,12,12,0,12,1,1,1,1577851401,TRUE,IN_SERVICE,1577851502
113,26,25,1,0,1,1,1,1577851392,TRUE,IN_SERVICE,1577851502
329,0,0,0,27,1,1,1,1577851470,TRUE,IN_SERVICE,1577851502
101,12,12,0,12,1,1,1,1577851666,TRUE,IN_SERVICE,1577851806
113,25,25,0,1,1,1,1,1577851654,TRUE,IN_SERVICE,1577851806
329,0,0,0,27,1,1,1,1577851734,TRUE,IN_SERVICE,1577851806
101,12,12,0,12,1,1,1,1577851926,TRUE,IN_SERVICE,1577852107
113,25,25,0,1,1,1,1,1577851918,TRUE,IN_SERVICE,1577852107
329,0,0,0,27,1,1,1,1577851997,TRUE,IN_SERVICE,1577852107
101,12,12,0,12,1,1,1,1577852188,TRUE,IN_SERVICE,1577852406
113,25,24,1,1,1,1,1,1577852181,TRUE,IN_SERVICE,1577852406
329,0,0,0,27,1,1,1,1577852261,TRUE,IN_SERVICE,1577852406
101,12,12,0,12,1,1,1,1577852708,TRUE,IN_SERVICE,1577852725
113,25,24,1,1,1,1,1,1577852704,TRUE,IN_SERVICE,1577852725
329,0,0,0,27,1,1,1,1577852522,TRUE,IN_SERVICE,1577852725
101,10,9,1,14,1,1,1,1577852967,TRUE,IN_SERVICE,1577853002
113,25,24,1,1,1,1,1,1577852966,TRUE,IN_SERVICE,1577853002
329,0,0,0,27,1,1,1,1577852784,TRUE,IN_SERVICE,1577853002
101,10,9,1,14,1,1,1,1577853233,TRUE,IN_SERVICE,1577853311
113,26,25,1,0,1,1,1,1577853230,TRUE,IN_SERVICE,1577853311
329,0,0,0,27,1,1,1,1577853048,TRUE,IN_SERVICE,1577853311
101,11,9,2,13,1,1,1,1577853491,TRUE,IN_SERVICE,1577853609
113,25,25,0,1,1,1,1,1577853492,TRUE,IN_SERVICE,1577853609
329,0,0,0,27,1,1,1,1577853575,TRUE,IN_SERVICE,1577853609
101,11,9,2,13,1,1,1,1577853752,TRUE,IN_SERVICE,1577853924
113,25,25,0,1,1,1,1,1577853753,TRUE,IN_SERVICE,1577853924
329,0,0,0,27,1,1,1,1577853839,TRUE,IN_SERVICE,1577853924
101,11,9,2,13,1,1,1,1577854012,TRUE,IN_SERVICE,1577854204
113,25,25,0,1,1,1,1,1577854016,TRUE,IN_SERVICE,1577854204
329,0,0,0,27,1,1,1,1577854100,TRUE,IN_SERVICE,1577854204
101,12,9,3,12,1,1,1,1577854276,TRUE,IN_SERVICE,1577854502
113,26,26,0,0,1,1,1,1577854279,TRUE,IN_SERVICE,1577854502
329,0,0,0,27,1,1,1,1577854365,TRUE,IN_SERVICE,1577854502
101,11,8,3,13,1,1,1,1577854797,TRUE,IN_SERVICE,1577854812
113,23,23,0,3,1,1,1,1577854801,TRUE,IN_SERVICE,1577854812
329,0,0,0,27,1,1,1,1577854628,TRUE,IN_SERVICE,1577854812
101,11,8,3,13,1,1,1,1577855059,TRUE,IN_SERVICE,1577855119
113,22,22,0,4,1,1,1,1577855062,TRUE,IN_SERVICE,1577855119
329,0,0,0,27,1,1,1,1577854887,TRUE,IN_SERVICE,1577855119
101,11,8,3,13,1,1,1,1577855321,TRUE,IN_SERVICE,1577855414
113,22,22,0,4,1,1,1,1577855321,TRUE,IN_SERVICE,1577855414
329,0,0,0,27,1,1,1,1577855412,TRUE,IN_SERVICE,1577855414
101,10,8,2,14,1,1,1,1577855584,TRUE,IN_SERVICE,1577855696
113,22,22,0,4,1,1,1,1577855581,TRUE,IN_SERVICE,1577855696
329,0,0,0,27,1,1,1,1577855678,TRUE,IN_SERVICE,1577855696
101,9,7,2,15,1,1,1,1577855843,TRUE,IN_SERVICE,1577856003
113,24,24,0,2,1,1,1,1577855844,TRUE,IN_SERVICE,1577856003
329,0,0,0,27,1,1,1,1577855942,TRUE,IN_SERVICE,1577856003
101,9,7,2,15,1,1,1,1577856105,TRUE,IN_SERVICE,1577856306
113,24,24,0,2,1,1,1,1577856106,TRUE,IN_SERVICE,1577856306
329,0,0,0,27,1,1,1,1577856207,TRUE,IN_SERVICE,1577856306
101,8,7,1,16,1,1,1,1577856365,TRUE,IN_SERVICE,1577856618
113,24,24,0,2,1,1,1,1577856366,TRUE,IN_SERVICE,1577856618
329,0,0,0,27,1,1,1,1577856470,TRUE,IN_SERVICE,1577856618
101,8,7,1,16,1,1,1,1577856889,TRUE,IN_SERVICE,1577856902
113,24,24,0,2,1,1,1,1577856894,TRUE,IN_SERVICE,1577856902
329,0,0,0,27,1,1,1,1577856470,TRUE,IN_SERVICE,1577856902
101,8,7,1,16,1,1,1,1577857150,TRUE,IN_SERVICE,1577857216
113,23,23,0,3,1,1,1,1577857157,TRUE,IN_SERVICE,1577857216
329,0,0,0,27,1,1,1,1577857054,TRUE,IN_SERVICE,1577857216
101,7,6,1,17,1,1,1,1577857411,TRUE,IN_SERVICE,1577857509
113,23,23,0,3,1,1,1,1577857419,TRUE,IN_SERVICE,1577857509
329,0,0,0,27,1,1,1,1577857316,TRUE,IN_SERVICE,1577857509
101,7,6,1,17,1,1,1,1577857670,TRUE,IN_SERVICE,1577857806
113,24,24,0,2,1,1,1,1577857681,TRUE,IN_SERVICE,1577857806
329,0,0,0,27,1,1,1,1577857575,TRUE,IN_SERVICE,1577857806
101,7,6,1,17,1,1,1,1577857932,TRUE,IN_SERVICE,1577858102
113,24,24,0,2,1,1,1,1577857945,TRUE,IN_SERVICE,1577858102
329,0,0,0,27,1,1,1,1577858092,TRUE,IN_SERVICE,1577858102
101,7,6,1,17,1,1,1,1577858193,TRUE,IN_SERVICE,1577858402
113,25,25,0,1,1,1,1,1577858209,TRUE,IN_SERVICE,1577858402
329,0,0,0,27,1,1,1,1577858351,TRUE,IN_SERVICE,1577858402
101,7,6,1,17,1,1,1,1577858716,TRUE,IN_SERVICE,1577858723
113,25,25,0,1,1,1,1,1577858470,TRUE,IN_SERVICE,1577858723
329,0,0,0,27,1,1,1,1577858646,TRUE,IN_SERVICE,1577858723
101,5,5,0,19,1,1,1,1577858978,TRUE,IN_SERVICE,1577859000
113,25,25,0,1,1,1,1,1577858991,TRUE,IN_SERVICE,1577859000
329,0,0,0,27,1,1,1,1577858912,TRUE,IN_SERVICE,1577859000
101,5,5,0,19,1,1,1,1577859239,TRUE,IN_SERVICE,1577859301
113,25,25,0,1,1,1,1,1577859254,TRUE,IN_SERVICE,1577859301
329,0,0,0,27,1,1,1,1577859175,TRUE,IN_SERVICE,1577859301
101,5,5,0,19,1,1,1,1577859500,TRUE,IN_SERVICE,1577859625
113,25,25,0,1,1,1,1,1577859515,TRUE,IN_SERVICE,1577859625
329,0,0,0,27,1,1,1,1577859438,TRUE,IN_SERVICE,1577859625
101,5,5,0,19,1,1,1,1577859761,TRUE,IN_SERVICE,1577859923
113,25,25,0,1,1,1,1,1577859776,TRUE,IN_SERVICE,1577859923
329,0,0,0,27,1,1,1,1577859701,TRUE,IN_SERVICE,1577859923
101,5,5,0,19,1,1,1,1577860023,TRUE,IN_SERVICE,1577860226
113,24,24,0,2,1,1,1,1577860041,TRUE,IN_SERVICE,1577860226
329,0,0,0,27,1,1,1,1577859964,TRUE,IN_SERVICE,1577860226
101,5,5,0,19,1,1,1,1577860287,TRUE,IN_SERVICE,1577860508
113,24,24,0,2,1,1,1,1577860303,TRUE,IN_SERVICE,1577860508
329,0,0,0,27,1,1,1,1577860490,TRUE,IN_SERVICE,1577860508
101,4,4,0,20,1,1,1,1577860811,TRUE,IN_SERVICE,1577860818
113,24,24,0,2,1,1,1,1577860568,TRUE,IN_SERVICE,1577860818
329,0,0,0,27,1,1,1,1577860753,TRUE,IN_SERVICE,1577860818
101,4,4,0,20,1,1,1,1577861072,TRUE,IN_SERVICE,1577861126
113,24,24,0,1,1,1,1,1577861095,TRUE,IN_SERVICE,1577861126
329,0,0,0,27,1,1,1,1577861012,TRUE,IN_SERVICE,1577861126
101,4,4,0,20,1,1,1,1577861329,TRUE,IN_SERVICE,1577861398
113,25,25,0,0,1,1,1,1577861359,TRUE,IN_SERVICE,1577861398
329,0,0,0,27,1,1,1,1577861276,TRUE,IN_SERVICE,1577861398
101,4,4,0,20,1,1,1,1577861590,TRUE,IN_SERVICE,1577861723
113,25,25,0,0,1,1,1,1577861623,TRUE,IN_SERVICE,1577861723
329,0,0,0,27,1,1,1,1577861536,TRUE,IN_SERVICE,1577861723
101,4,4,0,20,1,1,1,1577861851,TRUE,IN_SERVICE,1577861996
113,25,25,0,0,1,1,1,1577861888,TRUE,IN_SERVICE,1577861996
329,0,0,0,27,1,1,1,1577861799,TRUE,IN_SERVICE,1577861996
101,4,4,0,20,1,1,1,1577862114,TRUE,IN_SERVICE,1577862325
113,25,25,0,0,1,1,1,1577862154,TRUE,IN_SERVICE,1577862325
329,0,0,0,27,1,1,1,1577862062,TRUE,IN_SERVICE,1577862325
101,4,4,0,20,1,1,1,1577862376,TRUE,IN_SERVICE,1577862626
113,25,25,0,0,1,1,1,1577862414,TRUE,IN_SERVICE,1577862626
329,0,0,0,27,1,1,1,1577862588,TRUE,IN_SERVICE,1577862626
101,4,4,0,20,1,1,1,1577862898,TRUE,IN_SERVICE,1577862911
113,25,25,0,0,1,1,1,1577862677,TRUE,IN_SERVICE,1577862911
329,0,0,0,27,1,1,1,1577862851,TRUE,IN_SERVICE,1577862911
101,4,4,0,20,1,1,1,1577863158,TRUE,IN_SERVICE,1577863221
113,25,25,0,0,1,1,1,1577863202,TRUE,IN_SERVICE,1577863221
329,0,0,0,27,1,1,1,1577863117,TRUE,IN_SERVICE,1577863221
101,4,4,0,20,1,1,1,1577863428,TRUE,IN_SERVICE,1577863500
113,25,25,0,0,1,1,1,1577863465,TRUE,IN_SERVICE,1577863500
329,0,0,0,27,1,1,1,1577863377,TRUE,IN_SERVICE,1577863500
101,4,4,0,20,1,1,1,1577863691,TRUE,IN_SERVICE,1577863815
113,25,25,0,0,1,1,1,1577863726,TRUE,IN_SERVICE,1577863815
329,0,0,0,27,1,1,1,1577863642,TRUE,IN_SERVICE,1577863815
101,4,4,0,20,1,1,1,1577863953,TRUE,IN_SERVICE,1577864112
113,25,25,0,0,1,1,1,1577863987,TRUE,IN_SERVICE,1577864112
329,0,0,0,27,1,1,1,1577863906,TRUE,IN_SERVICE,1577864112
101,4,4,0,20,1,1,1,1577864216,TRUE,IN_SERVICE,1577864410
113,25,25,0,0,1,1,1,1577864247,TRUE,IN_SERVICE,1577864410
329,0,0,0,27,1,1,1,1577864169,TRUE,IN_SERVICE,1577864410
101,4,4,0,20,1,1,1,1577864475,TRUE,IN_SERVICE,1577864698
113,25,25,0,0,1,1,1,1577864508,TRUE,IN_SERVICE,1577864698
329,0,0,0,27,1,1,1,1577864694,TRUE,IN_SERVICE,1577864698
101,4,4,0,20,1,1,1,1577864997,TRUE,IN_SERVICE,1577865018
113,25,25,0,0,1,1,1,1577864769,TRUE,IN_SERVICE,1577865018
329,0,0,0,27,1,1,1,1577864956,TRUE,IN_SERVICE,1577865018
101,4,4,0,20,1,1,1,1577865259,TRUE,IN_SERVICE,1577865326
113,25,25,0,0,1,1,1,1577865293,TRUE,IN_SERVICE,1577865326
329,0,0,0,27,1,1,1,1577865220,TRUE,IN_SERVICE,1577865326
101,4,4,0,20,1,1,1,1577865523,TRUE,IN_SERVICE,1577865597
113,25,25,0,0,1,1,1,1577865557,TRUE,IN_SERVICE,1577865597
329,0,0,0,27,1,1,1,1577865486,TRUE,IN_SERVICE,1577865597
