,datetime,113,101,329
152,2020-01-07T08:00:00,2.0,3.0,0.0
153,2020-01-07T09:00:00,6.0,5.0,0.0
154,2020-01-07T10:00:00,4.0,3.0,0.0
155,2020-01-07T11:00:00,2.0,3.0,0.0
156,2020-01-07T12:00:00,2.0,6.0,0.0
157,2020-01-07T13:00:00,0.0,8.0,4.0
158,2020-01-07T14:00:00,4.0,2.0,1.0
159,2020-01-07T15:00:00,1.0,7.0,0.0
160,2020-01-07T16:00:00,8.0,13.0,2.0
161,2020-01-07T17:00:00,2.0,5.0,6.0
162,2020-01-07T18:00:00,4.0,14.0,6.0
163,2020-01-07T19:00:00,3.0,10.0,0.0
164,2020-01-07T20:00:00,16.0,3.0,0.0
165,2020-01-07T21:00:00,5.0,1.0,0.0
166,2020-01-07T22:00:00,2.0,2.0,1.0
167,2020-01-07T23:00:00,1.0,1.0,0.0
168,2020-01-08T00:00:00,0.0,1.0,0.0
169,2020-01-08T01:00:00,0.0,1.0,0.0
170,2020-01-08T02:00:00,1.0,1.0,0.0
171,2020-01-08T03:00:00,1.0,0.0,0.0
172,2020-01-08T04:00:00,1.0,0.0,0.0
173,2020-01-08T05:00:00,3.0,1.0,1.0
174,2020-01-08T06:00:00,7.0,4.0,0.0
175,2020-01-08T07:00:00,7.0,5.0,3.0
176,2020-01-08T08:00:00,3.0,5.0,0.0
177,2020-01-08T09:00:00,2.0,2.0,1.0
178,2020-01-08T10:00:00,2.0,1.0,0.0
179,2020-01-08T11:00:00,4.0,2.0,1.0
180,2020-01-08T12:00:00,1.0,4.0,0.0
181,2020-01-08T13:00:00,2.0,11.0,0.0
182,2020-01-08T14:00:00,5.0,2.0,0.0
183,2020-01-08T15:00:00,1.0,1.0,4.0
184,2020-01-08T16:00:00,3.0,12.0,2.0
185,2020-01-08T17:00:00,3.0,11.0,0.0
186,2020-01-08T18:00:00,13.0,14.0,1.0
187,2020-01-08T19:00:00,2.0,5.0,1.0
188,2020-01-08T20:00:00,1.0,5.0,0.0
189,2020-01-08T21:00:00,16.0,4.0,0.0
190,2020-01-08T22:00:00,0.0,3.0,0.0
191,2020-01-08T23:00:00,2.0,2.0,0.0
192,2020-01-09T00:00:00,2.0,1.0,0.0
193,2020-01-09T01:00:00,1.0,1.0,0.0
194,2020-01-09T02:00:00,1.0,0.0,0.0
195,2020-01-09T03:00:00,1.0,0.0,0.0
196,2020-01-09T04:00:00,1.0,0.0,0.0
197,2020-01-09T05:00:00,2.0,1.0,0.0
198,2020-01-09T06:00:00,7.0,3.0,1.0
199,2020-01-09T07:00:00,12.0,4.0,3.0
200,2020-01-09T08:00:00,0.0,3.0,0.0
201,2020-01-09T09:00:00,2.0,2.0,2.0
202,2020-01-09T10:00:00,10.0,0.0,1.0
203,2020-01-09T11:00:00,1.0,5.0,2.0
204,2020-01-09T12:00:00,5.0,3.0,1.0
205,2020-01-09T13:00:00,0.0,16.0,1.0
206,2020-01-09T14:00:00,3.0,8.0,0.0
207,2020-01-09T15:00:00,3.0,2.0,3.0
208,2020-01-09T16:00:00,1.0,16.0,1.0
209,2020-01-09T17:00:00,7.0,5.0,5.0
210,2020-01-09T18:00:00,5.0,13.0,0.0
211,2020-01-09T19:00:00,20.0,5.0,1.0
212,2020-01-09T20:00:00,0.0,9.0,1.0
213,2020-01-09T21:00:00,1.0,3.0,1.0
214,2020-01-09T22:00:00,14.0,0.0,0.0
215,2020-01-09T23:00:00,3.0,6.0,0.0
216,2020-01-10T00:00:00,1.0,2.0,0.0
217,2020-01-10T01:00:00,0.0,3.0,0.0
218,2020-01-10T02:00:00,0.0,0.0,0.0
219,2020-01-10T03:00:00,1.0,0.0,0.0
220,2020-01-10T04:00:00,0.0,1.0,0.0
221,2020-01-10T05:00:00,0.0,1.0,0.0
222,2020-01-10T06:00:00,2.0,1.0,0.0
223,2020-01-10T07:00:00,0.0,2.0,0.0
224,2020-01-10T08:00:00,0.0,2.0,0.0
225,2020-01-10T09:00:00,2.0,0.0,0.0
226,2020-01-10T10:00:00,1.0,1.0,0.0
227,2020-01-10T11:00:00,1.0,1.0,0.0
228,2020-01-10T12:00:00,1.0,5.0,3.0
229,2020-01-10T13:00:00,5.0,8.0,2.0
230,2020-01-10T14:00:00,6.0,13.0,0.0
231,2020-01-10T15:00:00,1.0,1.0,0.0
232,2020-01-10T16:00:00,17.0,16.0,0.0
233,2020-01-10T17:00:00,7.0,6.0,6.0
234,2020-01-10T18:00:00,4.0,10.0,4.0
235,2020-01-10T19:00:00,2.0,6.0,1.0
236,2020-01-10T20:00:00,4.0,3.0,0.0
237,2020-01-10T21:00:00,2.0,2.0,0.0
238,2020-01-10T22:00:00,1.0,2.0,1.0
239,2020-01-10T23:00:00,0.0,4.0,0.0
240,2020-01-11T00:00:00,4.0,2.0,1.0
241,2020-01-11T01:00:00,2.0,0.0,0.0
242,2020-01-11T02:00:00,3.0,7.0,0.0
243,2020-01-11T03:00:00,1.0,2.0,0.0
244,2020-01-11T04:00:00,0.0,2.0,0.0
245,2020-01-11T05:00:00,2.0,1.0,0.0
246,2020-01-11T06:00:00,2.0,1.0,0.0
247,2020-01-11T07:00:00,3.0,0.0,0.0
248,2020-01-11T08:00:00,4.0,1.0,0.0
249,2020-01-11T09:00:00,3.0,2.0,0.0
250,2020-01-11T10:00:00,6.0,1.0,1.0
251,2020-01-11T11:00:00,4.0,8.0,0.0
252,2020-01-11T12:00:00,2.0,7.0,1.0
253,2020-01-11T13:00:00,5.0,1.0,0.0
254,2020-01-11T14:00:00,1.0,9.0,0.0
255,2020-01-11T15:00:00,2.0,8.0,1.0
256,2020-01-11T16:00:00,1.0,4.0,1.0
257,2020-01-11T17:00:00,8.0,5.0,0.0
258,2020-01-11T18:00:00,4.0,1.0,0.0
259,2020-01-11T19:00:00,2.0,10.0,1.0
260,2020-01-11T20:00:00,20.0,4.0,0.0
261,2020-01-11T21:00:00,3.0,2.0,0.0
262,2020-01-11T22:00:00,3.0,2.0,0.0
263,2020-01-11T23:00:00,3.0,3.0,0.0
264,2020-01-12T00:00:00,2.0,3.0,0.0
265,2020-01-12T01:00:00,3.0,0.0,0.0
266,2020-01-12T02:00:00,3.0,2.0,0.0
267,2020-01-12T03:00:00,0.0,0.0,0.0
268,2020-01-12T04:00:00,0.0,0.0,0.0
269,2020-01-12T05:00:00,0.0,1.0,0.0
270,2020-01-12T06:00:00,1.0,0.0,0.0
271,2020-01-12T07:00:00,2.0,1.0,0.0
272,2020-01-12T08:00:00,4.0,0.0,0.0
273,2020-01-12T09:00:00,3.0,3.0,0.0
274,2020-01-12T10:00:00,3.0,3.0,0.0
275,2020-01-12T11:00:00,5.0,6.0,0.0
276,2020-01-12T12:00:00,5.0,6.0,2.0
277,2020-01-12T13:00:00,7.0,5.0,0.0
278,2020-01-12T14:00:00,4.0,2.0,0.0
279,2020-01-12T15:00:00,2.0,1.0,1.0
280,2020-01-12T16:00:00,2.0,5.0,0.0
281,2020-01-12T17:00:00,2.0,4.0,0.0
282,2020-01-12T18:00:00,3.0,4.0,0.0
283,2020-01-12T19:00:00,1.0,3.0,1.0
284,2020-01-12T20:00:00,2.0,0.0,0.0
285,2020-01-12T21:00:00,0.0,0.0,0.0
286,2020-01-12T22:00:00,3.0,0.0,0.0
287,2020-01-12T23:00:00,21.0,0.0,0.0
288,2020-01-13T00:00:00,0.0,0.0,0.0
289,2020-01-13T01:00:00,0.0,1.0,0.0
290,2020-01-13T02:00:00,0.0,0.0,0.0
291,2020-01-13T03:00:00,0.0,0.0,0.0
292,2020-01-13T04:00:00,1.0,0.0,0.0
293,2020-01-13T05:00:00,2.0,0.0,1.0
294,2020-01-13T06:00:00,3.0,2.0,1.0
295,2020-01-13T07:00:00,1.0,6.0,4.0
296,2020-01-13T08:00:00,2.0,2.0,6.0
297,2020-01-13T09:00:00,2.0,4.0,2.0
298,2020-01-13T10:00:00,1.0,0.0,3.0
299,2020-01-13T11:00:00,3.0,7.0,0.0
300,2020-01-13T12:00:00,4.0,3.0,1.0
301,2020-01-13T13:00:00,2.0,11.0,0.0
302,2020-01-13T14:00:00,5.0,2.0,1.0
303,2020-01-13T15:00:00,1.0,6.0,3.0
304,2020-01-13T16:00:00,0.0,18.0,1.0
305,2020-01-13T17:00:00,2.0,3.0,1.0
306,2020-01-13T18:00:00,11.0,6.0,1.0
307,2020-01-13T19:00:00,5.0,7.0,0.0
308,2020-01-13T20:00:00,2.0,1.0,0.0
